Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need money to pay for a vocational training course in plumbing.,150888,645,Fair,101055,14.49,0,0
I need a loan to buy a truck and start a moving business.,140803,472,Poor,23185,19.94,1,0
I need money to launch my own tech startup focused on AI solutions.,148009,488,Poor,85123,27.38,1,0
I need money to invest in a franchise business opportunity.,56042,536,Poor,10897,16.87,1,0
I need a loan to repair my car after an accident.,152574,766,Very Good,8923,19.31,0,0
I need money to cover unexpected medical expenses from surgery.,151652,740,Very Good,15026,11.04,1,1
I want to start a mobile pet grooming service and need funds for supplies.,59032,546,Poor,41617,29.78,0,0
I need financial help to cover maternity and delivery expenses.,90077,706,Good,49896,11.3,0,0
I need financial help to cover unexpected veterinary bills for my pet.,168111,549,Poor,79636,11.78,1,0
I need a loan to relocate to a new city after getting a job offer.,186919,309,Poor,22675,8.68,0,0
I need financial assistance to launch my own YouTube content creation business.,189058,639,Fair,25998,22.26,1,1
I want to invest in a rental property as a source of passive income.,75421,786,Very Good,4051,30.19,1,1
I need funds to upgrade my computer and buy software for freelance work.,162352,333,Poor,122735,10.32,0,0
I need money to cover unexpected medical expenses from surgery.,74305,447,Poor,6042,41.86,0,0
I need a loan to buy a motorcycle for daily transportation.,167838,546,Poor,103015,25.11,0,0
I need money to refinance my home loan at a lower interest rate.,134580,537,Poor,45642,7.42,0,0
I need financial help to cover maternity and delivery expenses.,164975,684,Good,25345,20.19,0,0
I need a loan to cover emergency expenses after a natural disaster.,182166,602,Fair,20269,11.61,1,1
I need funds to launch my handmade jewelry brand online.,114555,409,Poor,1680,9.6,0,0
I need a loan to pay for a down payment on my first home.,114350,576,Poor,18367,10.23,1,1
I need financial support for medical treatment abroad.,132978,759,Very Good,73710,31.21,0,0
I want to pay off my payday loans and switch to a lower-interest option.,120987,312,Poor,55238,19.94,0,0
I need a loan to cover emergency expenses after a natural disaster.,166679,548,Poor,45455,25.49,0,0
I need funds to stock inventory for my new retail store.,56396,575,Poor,18590,43.86,0,0
I need money to purchase a food truck and start my own business.,146938,378,Poor,33990,19.51,1,0
I need financial support to pay for my son's football training program.,175662,500,Poor,29042,19.93,1,0
I need a loan to pay for a down payment on my first home.,107749,740,Very Good,78908,44.24,1,0
I need money to purchase a food truck and start my own business.,104060,505,Poor,42180,34.97,1,0
I need financial support to open a daycare center in my neighborhood.,103660,598,Fair,65357,44.84,1,0
I want to pay off my payday loans and switch to a lower-interest option.,118580,587,Fair,48843,25.93,1,1
I need funds to buy new furniture and appliances for my house.,175248,484,Poor,8055,28.35,0,0
I need money to cover funeral expenses for a loved one.,134938,598,Fair,105288,7.06,0,0
I need financial support to pay for my son's football training program.,56484,610,Fair,17559,36.93,1,1
I need funds to expand my home-based bakery to a physical store.,118825,375,Poor,79372,28.98,0,0
I need a loan to pay for legal fees related to my business license.,160081,818,Excellent,72256,20.25,1,1
I need a loan to pay for a much-needed vacation after years of saving.,160746,387,Poor,101788,7.57,1,0
I need money to buy new tools and materials for my woodworking business.,132841,408,Poor,13924,4.28,0,0
I need a loan to pay off overdue electricity and water bills.,153870,831,Excellent,77089,27.02,1,1
I need money to invest in stock trading and portfolio building.,118073,700,Good,90070,29.94,1,0
I want to purchase land to start an organic farming venture.,26438,794,Very Good,10680,44.83,0,0
I need a loan to cover emergency expenses after a natural disaster.,50426,445,Poor,21440,55.19,0,0
I need financial help to cover unexpected veterinary bills for my pet.,74229,833,Excellent,23826,49.37,0,0
I need money to refinance my home loan at a lower interest rate.,134862,763,Very Good,9804,19.2,0,0
I need a loan to buy a reliable used car for work commuting.,50168,323,Poor,8167,54.78,1,0
I need money to pay for a vocational training course in plumbing.,155264,478,Poor,21989,26.52,0,0
I need funds to expand my home-based bakery to a physical store.,141124,537,Poor,83543,22.35,1,0
I need financial support for medical treatment abroad.,187897,742,Very Good,8652,16.46,1,1
I need money to invest in stock trading and portfolio building.,175242,739,Good,2166,17.39,1,1
I need money to cover funeral expenses for a loved one.,92966,364,Poor,14336,46.08,1,0
I need a loan to pay for a much-needed vacation after years of saving.,105454,501,Poor,15936,33.18,0,0
I need a loan to buy a truck and start a moving business.,158337,620,Fair,51939,27.87,0,0
I need a loan to pay for an international vacation with my family.,111206,660,Fair,81918,31.48,1,0
I need money to purchase a food truck and start my own business.,181083,386,Poor,36113,27.09,0,0
I need financial assistance to buy farm equipment for my agricultural business.,82540,612,Fair,12996,15.34,0,0
I need a loan to develop and launch my mobile app startup.,153909,697,Good,79174,21.06,1,1
I need funds to pay for my pilot training program.,130897,490,Poor,84296,28.19,1,0
I need funds to stock inventory for my new retail store.,148356,595,Fair,25523,9.57,0,0
I need money to invest in stock trading and portfolio building.,182374,354,Poor,3512,15.64,0,0
I need money to cover unexpected legal expenses related to a dispute.,71151,693,Good,34124,58.75,0,0
I need money to invest in a franchise business opportunity.,199489,803,Excellent,117353,16.16,0,0
I need funds to stock inventory for my new retail store.,41671,331,Poor,10571,46.68,1,0
I need funds to upgrade my computer and buy software for freelance work.,78941,850,Excellent,12023,30.3,0,0
I need financial support to pay for my son's football training program.,164107,823,Excellent,76066,7.57,1,1
I need money to start a home-based catering business.,162372,675,Good,108821,24.96,1,0
I need a loan to pay for a down payment on my first home.,163223,523,Poor,14423,20.13,1,0
I need a loan to pay for a down payment on my first home.,50772,542,Poor,39530,36.94,0,0
I need funds to expand my home-based bakery to a physical store.,63511,442,Poor,14562,29.19,1,0
I want to purchase land to start an organic farming venture.,159534,587,Fair,71617,27.65,1,1
I want to pay off my payday loans and switch to a lower-interest option.,96712,596,Fair,36041,43.98,1,1
I need money to cover unexpected legal expenses related to a dispute.,127897,360,Poor,86969,18.12,1,0
I want to invest in livestock to start a small dairy farm.,85451,449,Poor,33447,30.55,0,0
I need a loan to pay for my son's medical treatment and therapy.,139195,799,Very Good,77278,19.0,1,1
I need funds to enroll in a professional certification program.,140179,666,Fair,105291,6.53,0,0
I need a loan to repair my car after an accident.,132628,516,Poor,36197,28.22,0,0
I need a loan to pay for a digital marketing course to grow my business.,108540,433,Poor,64614,38.79,0,0
I need financial assistance to buy farm equipment for my agricultural business.,61414,751,Very Good,1044,56.86,0,0
I need funds to buy new furniture and appliances for my house.,54580,609,Fair,18958,28.25,1,1
I need a loan to pay for a much-needed vacation after years of saving.,85638,384,Poor,22695,34.29,1,0
I need financial support to open a daycare center in my neighborhood.,183998,612,Fair,113520,11.06,1,0
I need a loan to pay off overdue electricity and water bills.,156169,755,Very Good,2056,3.59,0,0
I need financial assistance to buy farm equipment for my agricultural business.,130707,435,Poor,10283,27.78,1,0
I need funds to pay for my pilot training program.,43417,404,Poor,21535,27.09,0,0
I need money to purchase a food truck and start my own business.,55947,691,Good,43046,24.53,1,0
I want to expand my small online clothing store.,159069,308,Poor,86199,28.29,1,0
I need a loan to pay for a down payment on my first home.,112061,518,Poor,20840,41.19,0,0
I need a loan to pay for a down payment on my first home.,76949,388,Poor,10175,15.05,1,0
I need funds to pay for my pilot training program.,112152,739,Good,19327,22.84,1,1
"I need a loan for home renovation, including a kitchen remodel.",192597,608,Fair,136724,9.59,1,0
I need financial support to open a daycare center in my neighborhood.,97474,355,Poor,65865,21.22,0,0
I need a loan to pay for an international vacation with my family.,83198,811,Excellent,10307,56.27,1,0
I need a loan to pay for a much-needed vacation after years of saving.,102961,435,Poor,75498,29.48,0,0
I need a loan to pay for a much-needed vacation after years of saving.,163224,476,Poor,126102,21.97,1,0
I need money to cover unexpected medical expenses from surgery.,173973,369,Poor,69730,3.39,1,0
I need funds to expand my home-based bakery to a physical store.,125454,384,Poor,71328,37.45,1,0
I need funds to upgrade my computer and buy software for freelance work.,41914,617,Fair,17754,24.28,1,1
I need financial help to pay off my high-interest payday loans.,160611,634,Fair,77865,19.06,1,1
I need a loan to cover hospital bills after an unexpected surgery.,134684,544,Poor,33044,6.53,1,0
I need money to cover adoption fees and related expenses.,51311,312,Poor,1743,27.27,1,0
I need financial support to pay for my son's football training program.,110886,835,Excellent,34980,35.08,1,1
I need a loan to pay for my son's medical treatment and therapy.,53274,575,Poor,2923,23.91,0,0
I need funds to expand my home-based bakery to a physical store.,91298,836,Excellent,35465,10.06,1,1
I need financial support to pay for my son's football training program.,139327,823,Excellent,8266,20.53,0,0
I need funds to stock inventory for my new retail store.,116387,461,Poor,14487,18.66,1,0
I want to invest in a rental property as a source of passive income.,153385,302,Poor,113550,5.14,1,0
I want to buy a car for my rideshare business on Uber.,103869,577,Poor,75912,9.73,0,0
I need financial assistance to buy farm equipment for my agricultural business.,151607,353,Poor,30253,11.05,1,0
I need a loan to pay for legal fees related to my business license.,38068,776,Very Good,26346,61.73,0,0
I want to pay off my payday loans and switch to a lower-interest option.,42645,767,Very Good,25177,12.95,1,1
I need financial support to renovate my rental apartment.,167798,611,Fair,64591,27.3,0,0
I need a loan to pay for my son's medical treatment and therapy.,175108,805,Excellent,65258,10.17,1,1
I need a loan to start a small business.,127488,324,Poor,71981,15.9,0,0
I want to consolidate my credit card debts into one manageable payment.,107822,301,Poor,50319,44.59,0,0
I want to make home improvements like installing solar panels.,73790,842,Excellent,28513,27.93,0,0
I need a loan to relocate to a new city after getting a job offer.,57322,586,Fair,3877,19.36,1,1
I need a loan to upgrade my small music studio with better equipment.,128280,681,Good,99028,27.32,1,0
I need money to refinance my home loan at a lower interest rate.,152494,436,Poor,108474,30.66,0,0
